epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.003,0,,,,,,,
0,,49,,238.5007781982422,,,,,
0,,66,,,414.0754699707031,1.4389903545379639,554.6997680664062,0.2279590517282486,229.06369018554688
0,,66,295.9391174316406,,,,,,
,0.003,67,,,,,,,
1,,99,,211.0575408935547,,,,,
1,,133,,,360.2225341796875,1.1465972661972046,487.6434326171875,0.20731043815612793,200.4888153076172
1,,133,208.0079803466797,,,,,,
,0.003,134,,,,,,,
2,,149,,182.4373779296875,,,,,
2,,199,,173.9249267578125,,,,,
2,,200,,,338.6800842285156,0.8732841610908508,440.0062255859375,0.2004777491092682,183.19261169433594
2,,200,182.89144897460938,,,,,,
,0.003,201,,,,,,,
3,,249,,171.90557861328125,,,,,
3,,267,,,326.9998474121094,0.8006294965744019,438.3819885253906,0.19380812346935272,179.62184143066406
3,,267,174.9131622314453,,,,,,
,0.003,268,,,,,,,
4,,299,,177.09051513671875,,,,,
4,,334,,,321.7791748046875,0.6409704089164734,428.824951171875,0.19270677864551544,176.55130004882812
4,,334,168.37203979492188,,,,,,
,0.003,335,,,,,,,
5,,349,,158.1829376220703,,,,,
5,,399,,161.27149963378906,,,,,
5,,401,,,329.46514892578125,0.579874575138092,426.7287292480469,0.19720400869846344,176.7687530517578
5,,401,165.8907012939453,,,,,,
,0.003,402,,,,,,,
6,,449,,163.1802978515625,,,,,
6,,468,,,323.6518249511719,0.6738955974578857,441.84014892578125,0.1922399401664734,179.85427856445312
6,,468,163.54405212402344,,,,,,
,0.003,469,,,,,,,
7,,499,,158.6708526611328,,,,,
7,,535,,,323.75213623046875,0.6927198171615601,435.3080749511719,0.19259892404079437,178.892333984375
7,,535,160.8370361328125,,,,,,
,0.003,536,,,,,,,
8,,549,,167.65394592285156,,,,,
8,,599,,153.3836212158203,,,,,
8,,602,,,315.5134582519531,0.5084435343742371,422.3153076171875,0.18897858262062073,172.48097229003906
8,,602,159.1624298095703,,,,,,
,0.003,603,,,,,,,
9,,649,,156.50396728515625,,,,,
9,,669,,,321.0472412109375,0.5183857083320618,412.322265625,0.19200199842453003,171.63681030273438
9,,669,159.88040161132812,,,,,,
,0.003,670,,,,,,,
10,,699,,165.98475646972656,,,,,
10,,736,,,305.9080810546875,0.500582218170166,404.6144714355469,0.18483492732048035,167.45970153808594
10,,736,156.4786834716797,,,,,,
,0.003,737,,,,,,,
11,,749,,167.46051025390625,,,,,
11,,799,,157.20944213867188,,,,,
11,,803,,,323.4457092285156,0.6214457750320435,436.8658447265625,0.19179818034172058,177.89578247070312
11,,803,154.1110076904297,,,,,,
,0.003,804,,,,,,,
12,,849,,152.65211486816406,,,,,
12,,870,,,335.0968933105469,0.5189715623855591,437.9667053222656,0.1962406039237976,181.52284240722656
12,,870,154.09461975097656,,,,,,
,0.003,871,,,,,,,
13,,899,,153.9446258544922,,,,,
13,,937,,,317.25738525390625,0.6291221380233765,422.0615539550781,0.19003216922283173,174.4100341796875
13,,937,153.5265350341797,,,,,,
,0.003,938,,,,,,,
14,,949,,158.55865478515625,,,,,
14,,999,,152.16839599609375,,,,,
14,,1004,,,323.9633483886719,0.6171545386314392,429.00048828125,0.19231997430324554,177.02963256835938
14,,1004,154.81581115722656,,,,,,
,0.003,1005,,,,,,,
15,,1049,,161.74700927734375,,,,,
15,,1071,,,322.5954284667969,0.5125559568405151,414.3205871582031,0.19278733432292938,175.28086853027344
15,,1071,153.2118377685547,,,,,,
,0.003,1072,,,,,,,
16,,1099,,161.85328674316406,,,,,
16,,1138,,,328.6829528808594,0.5672842264175415,432.4268493652344,0.19575245678424835,181.59976196289062
16,,1138,151.75390625,,,,,,
,0.0015,1139,,,,,,,
17,,1149,,146.1884765625,,,,,
17,,1199,,146.20851135253906,,,,,
17,,1205,,,333.8218688964844,0.4444634020328522,419.6767578125,0.19665902853012085,182.7275390625
17,,1205,148.60446166992188,,,,,,
,0.0015,1206,,,,,,,
18,,1249,,152.56661987304688,,,,,
18,,1272,,,332.2616271972656,0.475127637386322,424.2783508300781,0.19496098160743713,180.63551330566406
18,,1272,147.6188201904297,,,,,,
,0.0015,1273,,,,,,,
19,,1299,,142.21363830566406,,,,,
19,,1339,,,336.6648864746094,0.48780950903892517,437.5859680175781,0.19640398025512695,182.26141357421875
19,,1339,147.85195922851562,,,,,,
,0.0015,1340,,,,,,,
20,,1349,,138.14572143554688,,,,,
20,,1399,,140.86558532714844,,,,,
20,,1406,,,342.02899169921875,0.485676109790802,445.79449462890625,0.1979118287563324,186.4453125
20,,1406,146.6548614501953,,,,,,
,0.0015,1407,,,,,,,
21,,1449,,155.8518829345703,,,,,
21,,1473,,,342.8323974609375,0.5079327821731567,449.40869140625,0.19817303121089935,185.46353149414062
21,,1473,146.2060089111328,,,,,,
,0.0015,1474,,,,,,,
22,,1499,,137.38177490234375,,,,,
22,,1540,,,344.5120544433594,0.5552340745925903,450.58074951171875,0.1997385025024414,186.62831115722656
22,,1540,146.0242156982422,,,,,,
