epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.003,0,,,,,,,
0,,49,,849.1271362304688,,,,,
0,,99,,759.4783325195312,,,,,
0,,100,,,1581.2547607421875,0.04137328639626503,2000.5389404296875,0.04134806618094444,885.1918334960938
0,,100,1202.858154296875,,,,,,
,0.003,101,,,,,,,
1,,149,,653.3126831054688,,,,,
1,,199,,570.7816772460938,,,,,
1,,201,,,1311.0596923828125,0.0342799611389637,1725.7745361328125,0.03386477380990982,740.0477294921875
1,,201,649.0419311523438,,,,,,
,0.003,202,,,,,,,
2,,249,,574.089111328125,,,,,
2,,299,,631.0867309570312,,,,,
2,,302,,,1384.986083984375,0.0357232391834259,1766.5399169921875,0.03585442528128624,767.9929809570312
2,,302,604.318359375,,,,,,
,0.003,303,,,,,,,
3,,349,,542.306640625,,,,,
3,,399,,529.109619140625,,,,,
3,,403,,,1357.2620849609375,0.03485453501343727,1746.5047607421875,0.03501991927623749,758.8648681640625
3,,403,576.7268676757812,,,,,,
,0.003,404,,,,,,,
4,,449,,526.9505004882812,,,,,
4,,499,,593.1904907226562,,,,,
4,,504,,,1568.21630859375,0.04016479477286339,1927.754150390625,0.04079800099134445,876.4180908203125
4,,504,550.2085571289062,,,,,,
,0.003,505,,,,,,,
5,,549,,518.691162109375,,,,,
5,,599,,503.7586975097656,,,,,
5,,605,,,1287.62548828125,0.03274950385093689,1656.14501953125,0.03307361900806427,731.5679321289062
5,,605,515.572509765625,,,,,,
,0.003,606,,,,,,,
6,,649,,476.9073791503906,,,,,
6,,699,,462.58935546875,,,,,
6,,706,,,1433.787841796875,0.036825310438871384,1784.15771484375,0.03730339556932449,816.6697998046875
6,,706,516.479248046875,,,,,,
,0.003,707,,,,,,,
7,,749,,566.3363037109375,,,,,
7,,799,,496.8229064941406,,,,,
7,,807,,,1360.544677734375,0.034554749727249146,1713.3548583984375,0.03501855954527855,826.7789306640625
7,,807,509.745849609375,,,,,,
,0.003,808,,,,,,,
8,,849,,474.4480895996094,,,,,
8,,899,,490.0196838378906,,,,,
8,,908,,,1133.1048583984375,0.02903531678020954,1488.0555419921875,0.029169660061597824,648.226806640625
8,,908,492.9229431152344,,,,,,
,0.003,909,,,,,,,
9,,949,,474.2038269042969,,,,,
9,,999,,452.0006408691406,,,,,
9,,1009,,,1144.1929931640625,0.029336219653487206,1498.0372314453125,0.029409505426883698,644.6973266601562
9,,1009,477.6751708984375,,,,,,
,0.003,1010,,,,,,,
10,,1049,,534.9717407226562,,,,,
10,,1099,,591.8716430664062,,,,,
10,,1110,,,1407.6328125,0.036274753510951996,1723.7576904296875,0.03673363849520683,803.2337646484375
10,,1110,550.9346923828125,,,,,,
,0.003,1111,,,,,,,
11,,1149,,450.3329162597656,,,,,
11,,1199,,424.5998229980469,,,,,
11,,1211,,,1240.270751953125,0.031773149967193604,1576.92236328125,0.032074037939310074,702.08544921875
11,,1211,477.14398193359375,,,,,,
,0.003,1212,,,,,,,
12,,1249,,475.2598876953125,,,,,
12,,1299,,471.0150146484375,,,,,
12,,1312,,,1106.41845703125,0.028451621532440186,1453.249755859375,0.028296077623963356,617.963134765625
12,,1312,473.2944641113281,,,,,,
,0.003,1313,,,,,,,
13,,1349,,470.4957580566406,,,,,
13,,1399,,466.6005859375,,,,,
13,,1413,,,1086.475830078125,0.028166089206933975,1447.7113037109375,0.027748525142669678,611.9169921875
13,,1413,469.7032165527344,,,,,,
,0.003,1414,,,,,,,
14,,1449,,444.0026550292969,,,,,
14,,1499,,453.79541015625,,,,,
14,,1514,,,1063.8514404296875,0.02748258411884308,1420.7706298828125,0.02716043032705784,602.7721557617188
14,,1514,464.8016357421875,,,,,,
,0.003,1515,,,,,,,
15,,1549,,436.0906066894531,,,,,
15,,1599,,455.3437805175781,,,,,
15,,1615,,,1109.1519775390625,0.028568685054779053,1444.1151123046875,0.02869584783911705,615.3963012695312
15,,1615,454.1217956542969,,,,,,
,0.003,1616,,,,,,,
16,,1649,,503.3472595214844,,,,,
16,,1699,,426.8036193847656,,,,,
16,,1716,,,1090.8662109375,0.028110168874263763,1456.6947021484375,0.02775363251566887,618.0438232421875
16,,1716,448.8962707519531,,,,,,
,0.003,1717,,,,,,,
17,,1749,,418.4178161621094,,,,,
17,,1799,,444.5561218261719,,,,,
17,,1817,,,1167.5428466796875,0.029673023149371147,1497.13671875,0.029882710427045822,670.947509765625
17,,1817,450.99969482421875,,,,,,
,0.003,1818,,,,,,,
18,,1849,,496.4434509277344,,,,,
18,,1899,,430.57666015625,,,,,
18,,1918,,,1058.8970947265625,0.027214767411351204,1431.51708984375,0.02684275060892105,606.4205322265625
18,,1918,452.58782958984375,,,,,,
,0.003,1919,,,,,,,
19,,1949,,427.8984375,,,,,
19,,1999,,453.6869201660156,,,,,
19,,2019,,,1099.35888671875,0.02814854122698307,1418.75830078125,0.028033621609210968,638.83642578125
19,,2019,453.98138427734375,,,,,,
,0.003,2020,,,,,,,
20,,2049,,443.1570129394531,,,,,
20,,2099,,403.0945739746094,,,,,
20,,2120,,,1075.62890625,0.027568919584155083,1418.8924560546875,0.02749372087419033,607.0499877929688
20,,2120,434.59539794921875,,,,,,
,0.0015,2121,,,,,,,
21,,2149,,443.5978088378906,,,,,
21,,2199,,409.7947998046875,,,,,
21,,2221,,,1017.9639282226562,0.025827305391430855,1331.3719482421875,0.02586602047085762,588.55322265625
21,,2221,404.8978271484375,,,,,,
,0.0015,2222,,,,,,,
22,,2249,,401.1283264160156,,,,,
22,,2299,,393.9862365722656,,,,,
22,,2322,,,975.2967529296875,0.024940187111496925,1296.4349365234375,0.024825522676110268,551.2445678710938
22,,2322,397.5490417480469,,,,,,
,0.0015,2323,,,,,,,
23,,2349,,370.9874572753906,,,,,
23,,2399,,394.3877258300781,,,,,
23,,2423,,,969.7332763671875,0.024723999202251434,1285.6414794921875,0.024683553725481033,558.3834228515625
23,,2423,404.4086608886719,,,,,,
,0.0015,2424,,,,,,,
24,,2449,,383.2255859375,,,,,
24,,2499,,392.9498596191406,,,,,
24,,2524,,,1130.6839599609375,0.02854382060468197,1442.0999755859375,0.028786219656467438,673.083984375
24,,2524,396.1717529296875,,,,,,
,0.0015,2525,,,,,,,
25,,2549,,361.9126892089844,,,,,
25,,2599,,409.322998046875,,,,,
25,,2625,,,965.6390991210938,0.02470107190310955,1283.296142578125,0.024592222645878792,551.5197143554688
25,,2625,396.6240234375,,,,,,
