epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.003,0,,,,,,,
0,,3,,,75823.8203125,0.0807785615324974,97627.1640625,0.08134327828884125,49684.16015625
0,,3,55325.01171875,,,,,,
,0.003,4,,,,,,,
1,,7,,,76854.8359375,0.08090612292289734,93406.8203125,0.08297383785247803,41509.37109375
1,,7,33526.8203125,,,,,,
,0.003,8,,,,,,,
2,,11,,,63043.65625,0.06741098314523697,79289.890625,0.06828835606575012,36059.984375
2,,11,27713.142578125,,,,,,
,0.003,12,,,,,,,
3,,15,,,52636.73828125,0.05672768875956535,67885.15625,0.05688827484846115,31545.388671875
3,,15,24147.15625,,,,,,
,0.003,16,,,,,,,
4,,19,,,62628.47265625,0.06732827425003052,75632.625,0.06877563148736954,34839.88671875
4,,19,22094.8671875,,,,,,
,0.003,20,,,,,,,
5,,23,,,42026.859375,0.04646142199635506,58540.30078125,0.045945797115564346,25486.4609375
5,,23,21226.02734375,,,,,,
,0.003,24,,,,,,,
6,,27,,,41262.69921875,0.0455322265625,57555.19921875,0.044860146939754486,24756.478515625
6,,27,19563.984375,,,,,,
,0.003,28,,,,,,,
7,,31,,,50079.6796875,0.054399725049734116,64598.078125,0.05450691282749176,29634.294921875
7,,31,18818.171875,,,,,,
,0.003,32,,,,,,,
8,,35,,,47317.89453125,0.05157933756709099,61579.22265625,0.05163697153329849,27487.349609375
8,,35,17809.712890625,,,,,,
,0.003,36,,,,,,,
9,,39,,,43120.87890625,0.04746796190738678,58422.5546875,0.04684135690331459,25244.736328125
9,,39,17102.69921875,,,,,,
,0.003,40,,,,,,,
10,,43,,,42360.9296875,0.047174908220767975,58611.83203125,0.04616449028253555,24552.666015625
10,,43,17272.68359375,,,,,,
,0.003,44,,,,,,,
11,,47,,,51319.1953125,0.05581540986895561,64571.37109375,0.05614207684993744,29551.9453125
11,,47,16380.1298828125,,,,,,
,0.003,48,,,,,,,
12,,49,,15480.140625,,,,,
12,,51,,,42345.9765625,0.04691559448838234,57404.0703125,0.04624361917376518,24169.88671875
12,,51,16268.28125,,,,,,
,0.003,52,,,,,,,
13,,55,,,41254.83984375,0.04579124599695206,56474.1796875,0.0450613908469677,23790.546875
13,,55,15261.9560546875,,,,,,
,0.003,56,,,,,,,
14,,59,,,44122.27734375,0.04856518283486366,58044.109375,0.04822930321097374,25324.603515625
14,,59,15137.8701171875,,,,,,
,0.003,60,,,,,,,
15,,63,,,46034.29296875,0.050315167754888535,59424.2734375,0.050368908792734146,26749.52734375
15,,63,14626.822265625,,,,,,
,0.003,64,,,,,,,
16,,67,,,36922.83984375,0.04135406017303467,51963.1484375,0.04052828624844551,20754.33984375
16,,67,14892.853515625,,,,,,
,0.003,68,,,,,,,
17,,71,,,42454.8984375,0.0463501513004303,57246.12890625,0.04618846997618675,24667.5
17,,71,14556.087890625,,,,,,
,0.003,72,,,,,,,
18,,75,,,42748.4609375,0.046771034598350525,56420.2109375,0.04666708782315254,23552.41015625
18,,75,13840.5537109375,,,,,,
,0.003,76,,,,,,,
19,,79,,,35902.8984375,0.040326692163944244,50525.8671875,0.03953098878264427,20993.498046875
19,,79,13061.3623046875,,,,,,
,0.003,80,,,,,,,
20,,83,,,40390.09375,0.044236086308956146,53486.21484375,0.04424327239394188,23020.435546875
20,,83,13652.7900390625,,,,,,
,0.003,84,,,,,,,
21,,87,,,41115.43359375,0.0450773760676384,54458.859375,0.044995296746492386,23905.6796875
21,,87,12967.2109375,,,,,,
,0.003,88,,,,,,,
22,,91,,,40697.390625,0.0448300801217556,53594.81640625,0.04490087181329727,23715.400390625
22,,91,12579.490234375,,,,,,
,0.0015,92,,,,,,,
23,,95,,,37858.671875,0.0416286438703537,50868.65625,0.041590530425310135,21894.158203125
23,,95,12215.41796875,,,,,,
,0.0015,96,,,,,,,
24,,99,,12929.90625,,,,,
24,,99,,,34872.25390625,0.03871556371450424,48313.3671875,0.03828998655080795,20098.470703125
24,,99,11986.5263671875,,,,,,
,0.0015,100,,,,,,,
25,,103,,,40512.37109375,0.04435634985566139,52699.640625,0.04449573531746864,23866.767578125
25,,103,12126.892578125,,,,,,
,0.0015,104,,,,,,,
26,,107,,,35831.33203125,0.03967376425862312,48150.4765625,0.03951435163617134,20328.9375
26,,107,11941.4365234375,,,,,,
,0.0015,108,,,,,,,
27,,111,,,37336.78515625,0.04090659320354462,49981.30078125,0.040910687297582626,21665.8671875
27,,111,11568.591796875,,,,,,
,0.0015,112,,,,,,,
28,,115,,,36916.1484375,0.040749866515398026,49445.1796875,0.0406462624669075,21305.357421875
28,,115,11650.623046875,,,,,,
,0.0015,116,,,,,,,
29,,119,,,36860.68359375,0.04049018397927284,48983.1328125,0.04045809805393219,21007.208984375
29,,119,11329.474609375,,,,,,
,0.0015,120,,,,,,,
30,,123,,,36435.3046875,0.03983340039849281,48776.21484375,0.039942026138305664,21122.794921875
30,,123,11464.2763671875,,,,,,
,0.0015,124,,,,,,,
31,,127,,,34095.45703125,0.037690259516239166,46477.5390625,0.037610266357660294,19720.853515625
31,,127,11262.33984375,,,,,,
,0.0015,128,,,,,,,
32,,131,,,38207.609375,0.041545964777469635,50521.04296875,0.041809383779764175,22697.68359375
32,,131,11144.5341796875,,,,,,
,0.0015,132,,,,,,,
33,,135,,,35977.70703125,0.03948448598384857,48206.390625,0.03954464942216873,20846.533203125
33,,135,11241.962890625,,,,,,
,0.0015,136,,,,,,,
34,,139,,,37920.9765625,0.041405461728572845,49827.3828125,0.04177287220954895,22161.490234375
34,,139,11116.220703125,,,,,,
,0.0015,140,,,,,,,
35,,143,,,35106.98046875,0.03862132132053375,47054.83203125,0.03859783709049225,20018.181640625
35,,143,11140.658203125,,,,,,
,0.0015,144,,,,,,,
36,,147,,,39593.7890625,0.04281776398420334,52142.515625,0.043372396379709244,23359.169921875
36,,147,11238.32421875,,,,,,
,0.0015,148,,,,,,,
37,,149,,11448.107421875,,,,,
37,,151,,,36090.75,0.03978193551301956,47827.65625,0.03976685181260109,20644.884765625
37,,151,11187.5634765625,,,,,,
,0.00075,152,,,,,,,
38,,155,,,36406.5625,0.039906855672597885,48361.359375,0.04010464996099472,20998.7734375
38,,155,11147.65625,,,,,,
,0.00075,156,,,,,,,
39,,159,,,37499.828125,0.04078957810997963,49494.19921875,0.04116785153746605,22121.064453125
39,,159,10937.828125,,,,,,
,0.00075,160,,,,,,,
40,,163,,,36015.09375,0.03945673629641533,47692.19921875,0.039574336260557175,20958.486328125
40,,163,10746.8193359375,,,,,,
,0.00075,164,,,,,,,
41,,167,,,35481.8984375,0.0387641042470932,47576.359375,0.03895976394414902,20748.939453125
41,,167,10762.1484375,,,,,,
,0.00075,168,,,,,,,
42,,171,,,35563.58984375,0.038900408893823624,47329.4453125,0.0390925258398056,20763.921875
42,,171,10666.1025390625,,,,,,
,0.00075,172,,,,,,,
43,,175,,,36687.640625,0.03991521894931793,48646.640625,0.040227849036455154,21368.189453125
43,,175,10585.07421875,,,,,,
