Tarih;Saat;Toplam
1.07.2024;00:00;38734,07
1.07.2024;01:00;36886,83
1.07.2024;02:00;35608,13
1.07.2024;03:00;34630,77
1.07.2024;04:00;34123,37
1.07.2024;05:00;32870,33
1.07.2024;06:00;32140,81
1.07.2024;07:00;32819,45
1.07.2024;08:00;37392,68
1.07.2024;09:00;38932,49
1.07.2024;10:00;39111,46
1.07.2024;11:00;39563,99
1.07.2024;12:00;38572,3
1.07.2024;13:00;40093,76
1.07.2024;14:00;41902,16
1.07.2024;15:00;42443,58
1.07.2024;16:00;43908,58
1.07.2024;17:00;45297,4
1.07.2024;18:00;45613,76
1.07.2024;19:00;46382,71
1.07.2024;20:00;47509,18
1.07.2024;21:00;47593,58
1.07.2024;22:00;46156,2
1.07.2024;23:00;43935,87
2.07.2024;00:00;41899,84
2.07.2024;01:00;40098,43
2.07.2024;02:00;38551,95
2.07.2024;03:00;37337
2.07.2024;04:00;36689,8
2.07.2024;05:00;35465,38
2.07.2024;06:00;34551,32
2.07.2024;07:00;34769,06
2.07.2024;08:00;38123,56
2.07.2024;09:00;39586,49
2.07.2024;10:00;39608,19
2.07.2024;11:00;40071,78
2.07.2024;12:00;38922,52
2.07.2024;13:00;40573,49
2.07.2024;14:00;42888,81
2.07.2024;15:00;43838,86
2.07.2024;16:00;45569,08
2.07.2024;17:00;46597,92
2.07.2024;18:00;46983,85
2.07.2024;19:00;47796,87
2.07.2024;20:00;48928,09
2.07.2024;21:00;48923,81
2.07.2024;22:00;47275,53
2.07.2024;23:00;44939,59
3.07.2024;00:00;43003,83
3.07.2024;01:00;40872,54
3.07.2024;02:00;39168,32
3.07.2024;03:00;37889,14
3.07.2024;04:00;37140,86
3.07.2024;05:00;35793,37
3.07.2024;06:00;34808,54
3.07.2024;07:00;35231,88
3.07.2024;08:00;38993,84
3.07.2024;09:00;40514,02
3.07.2024;10:00;40776,66
3.07.2024;11:00;41291,04
3.07.2024;12:00;39877,73
3.07.2024;13:00;41657,76
3.07.2024;14:00;43670,26
3.07.2024;15:00;44792,44
3.07.2024;16:00;46296,5
3.07.2024;17:00;47509,54
3.07.2024;18:00;47328,6
3.07.2024;19:00;47635,73
3.07.2024;20:00;48688,75
3.07.2024;21:00;48594,51
3.07.2024;22:00;47100,7
3.07.2024;23:00;44447,93
4.07.2024;00:00;42641,56
4.07.2024;01:00;40608,12
4.07.2024;02:00;39107,39
4.07.2024;03:00;37964,24
4.07.2024;04:00;37256,15
4.07.2024;05:00;36265,47
4.07.2024;06:00;35338,37
4.07.2024;07:00;35796,51
4.07.2024;08:00;39701,99
4.07.2024;09:00;41234,66
4.07.2024;10:00;41052,63
4.07.2024;11:00;41603,39
4.07.2024;12:00;40456,59
4.07.2024;13:00;41753,65
4.07.2024;14:00;43728,51
4.07.2024;15:00;44503,63
4.07.2024;16:00;45709,88
4.07.2024;17:00;46100,3
4.07.2024;18:00;45694,16
4.07.2024;19:00;46125,6
4.07.2024;20:00;47270,79
4.07.2024;21:00;47408,87
4.07.2024;22:00;46012,02
4.07.2024;23:00;43749,81
5.07.2024;00:00;41727,82
5.07.2024;01:00;39872,31
5.07.2024;02:00;38286,03
5.07.2024;03:00;37161,39
5.07.2024;04:00;36542,44
5.07.2024;05:00;35388,22
5.07.2024;06:00;34541
5.07.2024;07:00;35160,31
5.07.2024;08:00;38850,63
5.07.2024;09:00;40118,88
5.07.2024;10:00;40094,05
5.07.2024;11:00;40357,47
5.07.2024;12:00;38481,4
5.07.2024;13:00;38869,28
5.07.2024;14:00;42086,9
5.07.2024;15:00;43166,87
5.07.2024;16:00;44375,25
5.07.2024;17:00;45241,75
5.07.2024;18:00;45254,23
5.07.2024;19:00;45827,03
5.07.2024;20:00;46511,44
5.07.2024;21:00;46678,93
5.07.2024;22:00;45278,71
5.07.2024;23:00;43123,84
6.07.2024;00:00;41164,82
6.07.2024;01:00;39663,1
6.07.2024;02:00;37997,27
6.07.2024;03:00;36787,49
6.07.2024;04:00;35992,2
6.07.2024;05:00;34860,3
6.07.2024;06:00;33396,14
6.07.2024;07:00;33157,79
6.07.2024;08:00;34856,96
6.07.2024;09:00;35643,62
6.07.2024;10:00;36369,15
6.07.2024;11:00;36731,45
6.07.2024;12:00;35809,79
6.07.2024;13:00;37039,83
6.07.2024;14:00;38216,79
6.07.2024;15:00;38889,29
6.07.2024;16:00;40079,47
6.07.2024;17:00;41559,41
6.07.2024;18:00;43504,57
6.07.2024;19:00;44788,45
6.07.2024;20:00;46131,08
6.07.2024;21:00;46174,54
6.07.2024;22:00;44646,1
6.07.2024;23:00;42175,09
7.07.2024;00:00;40390,22
7.07.2024;01:00;38718,21
7.07.2024;02:00;36912,19
7.07.2024;03:00;35538,63
7.07.2024;04:00;34783,53
7.07.2024;05:00;33405,11
7.07.2024;06:00;31672,13
7.07.2024;07:00;29992,62
7.07.2024;08:00;29061,25
7.07.2024;09:00;28759,21
7.07.2024;10:00;29071,22
7.07.2024;11:00;29543,02
7.07.2024;12:00;29614,93
7.07.2024;13:00;30817,33
7.07.2024;14:00;32079,32
7.07.2024;15:00;33218,72
7.07.2024;16:00;35170
7.07.2024;17:00;37913,58
7.07.2024;18:00;40432,93
7.07.2024;19:00;42198,25
7.07.2024;20:00;44006,26
7.07.2024;21:00;44194,74
7.07.2024;22:00;43206,61
7.07.2024;23:00;41868,32
8.07.2024;00:00;40234,89
8.07.2024;01:00;38339,28
8.07.2024;02:00;36749,71
8.07.2024;03:00;36020,04
8.07.2024;04:00;35283,51
8.07.2024;05:00;34176,29
8.07.2024;06:00;33445,42
8.07.2024;07:00;34528,85
8.07.2024;08:00;39141,58
8.07.2024;09:00;41233,45
8.07.2024;10:00;41364,54
8.07.2024;11:00;41748,82
8.07.2024;12:00;40687,37
8.07.2024;13:00;42445,65
8.07.2024;14:00;44703,62
8.07.2024;15:00;45279,54
8.07.2024;16:00;47313,82
8.07.2024;17:00;48374,17
8.07.2024;18:00;48777,86
8.07.2024;19:00;49386,15
8.07.2024;20:00;50484,78
8.07.2024;21:00;50474,35
8.07.2024;22:00;49014,16
8.07.2024;23:00;46802,46
9.07.2024;00:00;44471,18
9.07.2024;01:00;41926,76
9.07.2024;02:00;40644,84
9.07.2024;03:00;39479,63
9.07.2024;04:00;38837,98
9.07.2024;05:00;37593,91
9.07.2024;06:00;36596,84
9.07.2024;07:00;37364,89
9.07.2024;08:00;41422,36
9.07.2024;09:00;42998,16
9.07.2024;10:00;43661,19
9.07.2024;11:00;44101,52
9.07.2024;12:00;43163,19
9.07.2024;13:00;45049,41
9.07.2024;14:00;47232,89
9.07.2024;15:00;48322,47
9.07.2024;16:00;49854,57
9.07.2024;17:00;50542,45
9.07.2024;18:00;49703,09
9.07.2024;19:00;50035,26
9.07.2024;20:00;50858,51
9.07.2024;21:00;50946,1
9.07.2024;22:00;49469,53
9.07.2024;23:00;47014,41
10.07.2024;00:00;45399,98
10.07.2024;01:00;42841,28
10.07.2024;02:00;41328,61
10.07.2024;03:00;40054,4
10.07.2024;04:00;39344,07
10.07.2024;05:00;38161,97
10.07.2024;06:00;37204,22
10.07.2024;07:00;37770,46
10.07.2024;08:00;41791,41
10.07.2024;09:00;43833,27
10.07.2024;10:00;44102,78
10.07.2024;11:00;44882,69
10.07.2024;12:00;44186,05
10.07.2024;13:00;46609,08
10.07.2024;14:00;49014,87
10.07.2024;15:00;49543,55
10.07.2024;16:00;50586,84
10.07.2024;17:00;50728,52
10.07.2024;18:00;50029,51
10.07.2024;19:00;49924,81
10.07.2024;20:00;51017,07
10.07.2024;21:00;50796,15
10.07.2024;22:00;49592,93
10.07.2024;23:00;47534,96
11.07.2024;00:00;44996,97
11.07.2024;01:00;42664,84
11.07.2024;02:00;41155,11
11.07.2024;03:00;39976,54
11.07.2024;04:00;39282,2
11.07.2024;05:00;37997,74
11.07.2024;06:00;37083,55
11.07.2024;07:00;37601,78
11.07.2024;08:00;41588,53
11.07.2024;09:00;43501,38
11.07.2024;10:00;43428,89
11.07.2024;11:00;43878,32
11.07.2024;12:00;42871,63
11.07.2024;13:00;44753,46
11.07.2024;14:00;46824,13
11.07.2024;15:00;47600,34
11.07.2024;16:00;48388,39
11.07.2024;17:00;49170,96
11.07.2024;18:00;49312,44
11.07.2024;19:00;49649,5
11.07.2024;20:00;51037,61
11.07.2024;21:00;51001
11.07.2024;22:00;49497,5
11.07.2024;23:00;47643,05
12.07.2024;00:00;44905,41
12.07.2024;01:00;42791,77
12.07.2024;02:00;41060,89
12.07.2024;03:00;39789,65
12.07.2024;04:00;39073,43
12.07.2024;05:00;37616,1
12.07.2024;06:00;36819,71
12.07.2024;07:00;37234,18
12.07.2024;08:00;41244,93
12.07.2024;09:00;43212,77
12.07.2024;10:00;43500,92
12.07.2024;11:00;43964,99
12.07.2024;12:00;42296,01
12.07.2024;13:00;42915,45
12.07.2024;14:00;46408,69
12.07.2024;15:00;47414,04
12.07.2024;16:00;48504,12
12.07.2024;17:00;49237,97
12.07.2024;18:00;48809,66
12.07.2024;19:00;48756,99
12.07.2024;20:00;49762,13
12.07.2024;21:00;49842,74
12.07.2024;22:00;48461,28
12.07.2024;23:00;46680,39
13.07.2024;00:00;44228,76
13.07.2024;01:00;42217,02
13.07.2024;02:00;40452,36
13.07.2024;03:00;39193,98
13.07.2024;04:00;38369,75
13.07.2024;05:00;37111,5
13.07.2024;06:00;35635,09
13.07.2024;07:00;35302,92
13.07.2024;08:00;37349,71
13.07.2024;09:00;38694,03
13.07.2024;10:00;39045,58
13.07.2024;11:00;39410,65
13.07.2024;12:00;38840,19
13.07.2024;13:00;40402,78
13.07.2024;14:00;41613,83
13.07.2024;15:00;42487,97
13.07.2024;16:00;43478,85
13.07.2024;17:00;44945,71
13.07.2024;18:00;46200,7
13.07.2024;19:00;47127,81
13.07.2024;20:00;48362,83
