Tarih;Saat;Toplam
1.04.2025;00:00;27041,13
1.04.2025;01:00;25528,18
1.04.2025;02:00;24225,62
1.04.2025;03:00;23381,61
1.04.2025;04:00;23100,3
1.04.2025;05:00;23024,81
1.04.2025;06:00;22449,51
1.04.2025;07:00;20502,04
1.04.2025;08:00;19926,87
1.04.2025;09:00;20592,03
1.04.2025;10:00;21566,06
1.04.2025;11:00;22565,09
1.04.2025;12:00;23432,33
1.04.2025;13:00;24368,47
1.04.2025;14:00;25550,72
1.04.2025;15:00;26344,11
1.04.2025;16:00;27545,19
1.04.2025;17:00;29025,53
1.04.2025;18:00;30666,6
1.04.2025;19:00;32575,84
1.04.2025;20:00;32734,01
1.04.2025;21:00;31860,37
1.04.2025;22:00;30971,01
1.04.2025;23:00;29921,19
2.04.2025;00:00;28717,64
2.04.2025;01:00;27344,4
2.04.2025;02:00;26321,75
2.04.2025;03:00;25597,15
2.04.2025;04:00;25403,32
2.04.2025;05:00;25489,69
2.04.2025;06:00;25190,29
2.04.2025;07:00;25762,13
2.04.2025;08:00;29897,88
2.04.2025;09:00;31637,26
2.04.2025;10:00;31938,44
2.04.2025;11:00;33158,63
2.04.2025;12:00;31881,11
2.04.2025;13:00;32347,14
2.04.2025;14:00;32696,96
2.04.2025;15:00;33186,19
2.04.2025;16:00;34793,64
2.04.2025;17:00;36890,39
2.04.2025;18:00;38161,12
2.04.2025;19:00;39856,21
2.04.2025;20:00;39190,75
2.04.2025;21:00;38147,53
2.04.2025;22:00;36977,44
2.04.2025;23:00;35661,19
3.04.2025;00:00;33786,68
3.04.2025;01:00;32007,33
3.04.2025;02:00;30692,79
3.04.2025;03:00;29885,36
3.04.2025;04:00;29815,66
3.04.2025;05:00;30131,4
3.04.2025;06:00;29420,1
3.04.2025;07:00;29634,01
3.04.2025;08:00;33222,99
3.04.2025;09:00;34214,36
3.04.2025;10:00;34159,54
3.04.2025;11:00;34518,92
3.04.2025;12:00;32727,62
3.04.2025;13:00;32685,21
3.04.2025;14:00;33145,53
3.04.2025;15:00;33759,53
3.04.2025;16:00;35575,36
3.04.2025;17:00;38119,94
3.04.2025;18:00;39145,96
3.04.2025;19:00;41045,38
3.04.2025;20:00;40969,2
3.04.2025;21:00;39634,81
3.04.2025;22:00;38268,9
3.04.2025;23:00;36543,88
4.04.2025;00:00;34483,6
4.04.2025;01:00;32860,33
4.04.2025;02:00;31465,33
4.04.2025;03:00;30568,48
4.04.2025;04:00;30240,5
