Tarih;Saat;Toplam
1.07.2025;00:00;41572,67
1.07.2025;01:00;39695,43
1.07.2025;02:00;38158,42
1.07.2025;03:00;37141,42
1.07.2025;04:00;36470,93
1.07.2025;05:00;35367,27
1.07.2025;06:00;34141,75
1.07.2025;07:00;33364,62
1.07.2025;08:00;35726,27
1.07.2025;09:00;35924,76
1.07.2025;10:00;35269,7
1.07.2025;11:00;35692,37
1.07.2025;12:00;34516,23
1.07.2025;13:00;36386,87
1.07.2025;14:00;38717,63
1.07.2025;15:00;39938,91
1.07.2025;16:00;42224,88
1.07.2025;17:00;44477,16
1.07.2025;18:00;46024,21
1.07.2025;19:00;47414,7
1.07.2025;20:00;48741,2
1.07.2025;21:00;48588,47
1.07.2025;22:00;47003,61
1.07.2025;23:00;45107,69
2.07.2025;00:00;42548,88
2.07.2025;01:00;40558,5
2.07.2025;02:00;39045,65
2.07.2025;03:00;37910,44
2.07.2025;04:00;37259,31
2.07.2025;05:00;35706,97
2.07.2025;06:00;34546,31
2.07.2025;07:00;34187,28
2.07.2025;08:00;36430,63
2.07.2025;09:00;36484,82
2.07.2025;10:00;35770,77
2.07.2025;11:00;35834,82
2.07.2025;12:00;34052,37
2.07.2025;13:00;34955,57
2.07.2025;14:00;36160,11
2.07.2025;15:00;38606,75
2.07.2025;16:00;41065
2.07.2025;17:00;43594,62
2.07.2025;18:00;45727,38
2.07.2025;19:00;47105,43
2.07.2025;20:00;48403,96
2.07.2025;21:00;48337,01
2.07.2025;22:00;46637,23
2.07.2025;23:00;44821,09
3.07.2025;00:00;42190,66
3.07.2025;01:00;40061,85
3.07.2025;02:00;38646,14
3.07.2025;03:00;37463,74
3.07.2025;04:00;36706,85
3.07.2025;05:00;35401,02
3.07.2025;06:00;34159,82
3.07.2025;07:00;33316,41
3.07.2025;08:00;35600,42
3.07.2025;09:00;35280,95
3.07.2025;10:00;34399,95
3.07.2025;11:00;34477,24
3.07.2025;12:00;33047,23
3.07.2025;13:00;34570,65
3.07.2025;14:00;36424,08
3.07.2025;15:00;37792,01
3.07.2025;16:00;40249,43
3.07.2025;17:00;42324,64
3.07.2025;18:00;44431,47
3.07.2025;19:00;46164,64
3.07.2025;20:00;47465,41
3.07.2025;21:00;47439,47
3.07.2025;22:00;45799,02
3.07.2025;23:00;43647,6
4.07.2025;00:00;41262,6
4.07.2025;01:00;39520,65
4.07.2025;02:00;38018,41
4.07.2025;03:00;36810,51
4.07.2025;04:00;36161,88
4.07.2025;05:00;34936,83
4.07.2025;06:00;33552,97
4.07.2025;07:00;33019,83
4.07.2025;08:00;35299,03
4.07.2025;09:00;35562,18
4.07.2025;10:00;35269,73
4.07.2025;11:00;35319,02
4.07.2025;12:00;33495,37
4.07.2025;13:00;33720,5
4.07.2025;14:00;36958,76
4.07.2025;15:00;38196,88
4.07.2025;16:00;40567,56
4.07.2025;17:00;42688,23
4.07.2025;18:00;44523,05
4.07.2025;19:00;46224,2
4.07.2025;20:00;47643,24
4.07.2025;21:00;47560,21
4.07.2025;22:00;46059,01
4.07.2025;23:00;44167,95
5.07.2025;00:00;41608,18
5.07.2025;01:00;39749,12
5.07.2025;02:00;38295,95
5.07.2025;03:00;37113,95
5.07.2025;04:00;36410,21
5.07.2025;05:00;34902,93
5.07.2025;06:00;33302,25
5.07.2025;07:00;31868,83
5.07.2025;08:00;32181,56
5.07.2025;09:00;31854,08
5.07.2025;10:00;31636,46
5.07.2025;11:00;32038,23
5.07.2025;12:00;31016,92
5.07.2025;13:00;31907,13
5.07.2025;14:00;33114,8
5.07.2025;15:00;33920,77
5.07.2025;16:00;35682,99
5.07.2025;17:00;38942,14
5.07.2025;18:00;42311,09
5.07.2025;19:00;44649,91
5.07.2025;20:00;46147,41
5.07.2025;21:00;45989,7
5.07.2025;22:00;44197,11
5.07.2025;23:00;42467,05
