Tarih;Saat;Toplam
1.04.2022;00:00;33200,66
1.04.2022;01:00;31490
1.04.2022;02:00;30356,76
1.04.2022;03:00;29655,51
1.04.2022;04:00;29509,51
1.04.2022;05:00;29996,91
1.04.2022;06:00;30288,73
1.04.2022;07:00;31270,12
1.04.2022;08:00;34895,76
1.04.2022;09:00;35512,5
1.04.2022;10:00;34653,63
1.04.2022;11:00;34462,6
1.04.2022;12:00;32104,7
1.04.2022;13:00;31111,19
1.04.2022;14:00;33416,27
1.04.2022;15:00;33798,35
1.04.2022;16:00;34686,02
1.04.2022;17:00;35644,94
1.04.2022;18:00;35684,97
1.04.2022;19:00;37390,06
1.04.2022;20:00;37629,12
1.04.2022;21:00;36837,31
1.04.2022;22:00;36369,22
1.04.2022;23:00;34924,23
2.04.2022;00:00;33111,76
2.04.2022;01:00;31746,32
2.04.2022;02:00;31067,6
2.04.2022;03:00;31286,8
2.04.2022;04:00;31070,9
2.04.2022;05:00;30423,16
2.04.2022;06:00;28749,57
2.04.2022;07:00;27457,73
2.04.2022;08:00;29087,01
2.04.2022;09:00;29840,29
2.04.2022;10:00;30122,84
2.04.2022;11:00;30462,14
2.04.2022;12:00;29724,88
2.04.2022;13:00;30086,35
2.04.2022;14:00;30607,81
2.04.2022;15:00;30708,86
2.04.2022;16:00;31667,7
2.04.2022;17:00;33305,27
2.04.2022;18:00;35369,27
2.04.2022;19:00;34953,32
2.04.2022;20:00;35774,85
2.04.2022;21:00;35066,5
2.04.2022;22:00;34089,89
2.04.2022;23:00;32743,13
3.04.2022;00:00;31075,36
3.04.2022;01:00;29512,2
3.04.2022;02:00;28820,98
3.04.2022;03:00;29108,63
3.04.2022;04:00;29158,11
3.04.2022;05:00;28211,72
3.04.2022;06:00;26098,36
3.04.2022;07:00;23768,24
3.04.2022;08:00;23108,67
3.04.2022;09:00;23269,38
3.04.2022;10:00;23845,94
3.04.2022;11:00;24297,84
3.04.2022;12:00;24807,18
3.04.2022;13:00;25437,72
3.04.2022;14:00;25744,96
3.04.2022;15:00;26316,55
3.04.2022;16:00;27928,8
3.04.2022;17:00;29981,31
3.04.2022;18:00;32846,4
3.04.2022;19:00;33300,08
3.04.2022;20:00;34044,22
3.04.2022;21:00;33435,89
3.04.2022;22:00;32839,28
3.04.2022;23:00;31645,72
4.04.2022;00:00;30336,13
4.04.2022;01:00;28897,78
4.04.2022;02:00;28358,35
4.04.2022;03:00;28784,75
4.04.2022;04:00;28931,34
4.04.2022;05:00;28437,33
4.04.2022;06:00;27177,91
4.04.2022;07:00;27843,27
4.04.2022;08:00;31627,88
4.04.2022;09:00;33207,27
4.04.2022;10:00;33384,58
4.04.2022;11:00;33745,02
4.04.2022;12:00;32782
4.04.2022;13:00;33100,32
4.04.2022;14:00;34370,8
4.04.2022;15:00;35050,11
4.04.2022;16:00;35972,28
4.04.2022;17:00;36673,3
4.04.2022;18:00;37525,05
4.04.2022;19:00;37314,62
4.04.2022;20:00;37890,13
4.04.2022;21:00;37486,69
4.04.2022;22:00;36861,53
4.04.2022;23:00;35304,55
5.04.2022;00:00;33454,85
5.04.2022;01:00;32232,46
5.04.2022;02:00;31588,58
5.04.2022;03:00;31722,61
5.04.2022;04:00;31669,09
5.04.2022;05:00;31203,94
5.04.2022;06:00;29519,89
5.04.2022;07:00;30241,59
5.04.2022;08:00;34017,85
5.04.2022;09:00;35537,69
5.04.2022;10:00;36233,1
5.04.2022;11:00;36876,93
5.04.2022;12:00;35771,91
5.04.2022;13:00;36346,86
5.04.2022;14:00;37200,43
5.04.2022;15:00;37221,7
5.04.2022;16:00;37535,17
5.04.2022;17:00;37618,83
5.04.2022;18:00;37899,82
5.04.2022;19:00;37668
5.04.2022;20:00;38680,09
5.04.2022;21:00;38127,2
5.04.2022;22:00;37327,75
5.04.2022;23:00;35853,34
6.04.2022;00:00;34126,22
6.04.2022;01:00;32819,42
6.04.2022;02:00;32164,56
6.04.2022;03:00;32240,21
6.04.2022;04:00;32163,32
6.04.2022;05:00;31653,61
6.04.2022;06:00;30181,37
6.04.2022;07:00;30525,29
6.04.2022;08:00;34230,41
6.04.2022;09:00;35223,98
6.04.2022;10:00;34751,07
6.04.2022;11:00;34843,89
6.04.2022;12:00;33284,03
6.04.2022;13:00;33446,74
6.04.2022;14:00;34575,31
6.04.2022;15:00;34847,73
6.04.2022;16:00;35741,86
6.04.2022;17:00;36485,37
6.04.2022;18:00;37613,37
6.04.2022;19:00;37651,95
6.04.2022;20:00;38521
6.04.2022;21:00;38149,96
6.04.2022;22:00;37421,34
6.04.2022;23:00;36200,44
7.04.2022;00:00;34343,74
7.04.2022;01:00;32906
7.04.2022;02:00;32097,17
7.04.2022;03:00;32260,09
7.04.2022;04:00;32120,29
7.04.2022;05:00;31408,31
7.04.2022;06:00;29815,25
7.04.2022;07:00;30070,09
7.04.2022;08:00;33762,57
7.04.2022;09:00;35436,45
7.04.2022;10:00;35900,49
7.04.2022;11:00;36278,83
7.04.2022;12:00;35230,07
7.04.2022;13:00;35833,38
7.04.2022;14:00;37233,58
7.04.2022;15:00;37668,01
7.04.2022;16:00;38330,51
7.04.2022;17:00;38169,36
7.04.2022;18:00;38437,1
7.04.2022;19:00;37875,72
7.04.2022;20:00;38426,99
7.04.2022;21:00;38343,07
7.04.2022;22:00;37524,17
7.04.2022;23:00;36301,95
8.04.2022;00:00;34602,4
8.04.2022;01:00;33130,36
8.04.2022;02:00;32424,26
8.04.2022;03:00;32512,18
8.04.2022;04:00;32315,56
8.04.2022;05:00;31815,34
8.04.2022;06:00;30205,7
8.04.2022;07:00;30671,1
8.04.2022;08:00;34398,77
8.04.2022;09:00;36148,54
8.04.2022;10:00;36685,87
8.04.2022;11:00;37004,48
8.04.2022;12:00;35033,52
8.04.2022;13:00;33657,52
8.04.2022;14:00;35686,69
8.04.2022;15:00;35542,07
8.04.2022;16:00;36301,75
8.04.2022;17:00;36696,75
8.04.2022;18:00;37265,29
8.04.2022;19:00;37238,86
8.04.2022;20:00;38108,85
8.04.2022;21:00;37922,67
8.04.2022;22:00;37221,74
8.04.2022;23:00;36149,15
9.04.2022;00:00;34502,76
9.04.2022;01:00;33195,17
9.04.2022;02:00;32142,23
9.04.2022;03:00;32197,58
9.04.2022;04:00;31906,21
9.04.2022;05:00;31084,98
9.04.2022;06:00;29257,17
9.04.2022;07:00;28209,57
9.04.2022;08:00;29878,66
9.04.2022;09:00;30703,52
9.04.2022;10:00;31170,14
9.04.2022;11:00;31370,99
9.04.2022;12:00;30656,02
9.04.2022;13:00;30832
9.04.2022;14:00;31316,71
9.04.2022;15:00;31465,75
9.04.2022;16:00;32324,23
9.04.2022;17:00;33831,45
9.04.2022;18:00;36175,41
9.04.2022;19:00;36519,56
9.04.2022;20:00;37110,39
9.04.2022;21:00;36757,81
9.04.2022;22:00;35656,81
9.04.2022;23:00;34612,84
10.04.2022;00:00;32833,55
10.04.2022;01:00;31374,05
10.04.2022;02:00;30376,25
10.04.2022;03:00;30234,01
10.04.2022;04:00;29916,05
10.04.2022;05:00;28646,57
10.04.2022;06:00;26259,24
10.04.2022;07:00;24909,36
10.04.2022;08:00;24802,7
10.04.2022;09:00;25057,01
10.04.2022;10:00;25482,67
10.04.2022;11:00;25632
10.04.2022;12:00;25802,35
10.04.2022;13:00;26374,47
10.04.2022;14:00;26688,6
10.04.2022;15:00;27176,85
10.04.2022;16:00;28205,57
10.04.2022;17:00;30570,5
10.04.2022;18:00;33593,89
10.04.2022;19:00;34260,54
10.04.2022;20:00;34682,15
10.04.2022;21:00;34236,61
10.04.2022;22:00;33333,33
10.04.2022;23:00;32771,68
11.04.2022;00:00;31725,28
11.04.2022;01:00;30077,04
11.04.2022;02:00;29328,38
11.04.2022;03:00;29698,89
11.04.2022;04:00;29488,27
11.04.2022;05:00;28877,29
11.04.2022;06:00;27322,1
11.04.2022;07:00;28147,72
11.04.2022;08:00;32371,96
11.04.2022;09:00;34549,75
11.04.2022;10:00;35429,26
11.04.2022;11:00;36576,33
11.04.2022;12:00;35963,31
11.04.2022;13:00;36740,4
11.04.2022;14:00;38207,8
11.04.2022;15:00;38817,35
11.04.2022;16:00;39492,37
11.04.2022;17:00;39679,61
11.04.2022;18:00;39614,06
11.04.2022;19:00;39175,61
11.04.2022;20:00;39714,67
11.04.2022;21:00;39469,93
11.04.2022;22:00;38553,37
11.04.2022;23:00;37268,16
12.04.2022;00:00;35404,63
12.04.2022;01:00;33875,49
12.04.2022;02:00;32952,09
12.04.2022;03:00;32875,17
12.04.2022;04:00;32939,88
12.04.2022;05:00;32201,53
12.04.2022;06:00;30403,62
12.04.2022;07:00;30597,3
12.04.2022;08:00;34516,46
12.04.2022;09:00;35759,57
12.04.2022;10:00;36181,82
12.04.2022;11:00;36875,88
12.04.2022;12:00;36068,38
12.04.2022;13:00;36605,32
12.04.2022;14:00;37327,45
12.04.2022;15:00;37462,57
12.04.2022;16:00;37895,44
12.04.2022;17:00;38260,95
12.04.2022;18:00;38925,62
12.04.2022;19:00;39223,45
12.04.2022;20:00;39951,02
12.04.2022;21:00;39747,58
12.04.2022;22:00;38994,89
12.04.2022;23:00;37605,51
13.04.2022;00:00;36044,67
13.04.2022;01:00;34350,83
13.04.2022;02:00;33594,87
13.04.2022;03:00;33659,86
13.04.2022;04:00;33476,79
13.04.2022;05:00;32728,48
13.04.2022;06:00;30646,87
13.04.2022;07:00;30889,74
13.04.2022;08:00;34156,7
13.04.2022;09:00;35317,94
13.04.2022;10:00;35699,82
13.04.2022;11:00;36138,18
13.04.2022;12:00;35071,21
13.04.2022;13:00;35653,61
13.04.2022;14:00;36490,82
13.04.2022;15:00;36440,5
13.04.2022;16:00;37198,58
13.04.2022;17:00;38220,19
13.04.2022;18:00;39135,03
13.04.2022;19:00;39544,54
13.04.2022;20:00;40438,75
13.04.2022;21:00;40412,82
13.04.2022;22:00;39703,96
13.04.2022;23:00;38258,56
14.04.2022;00:00;36516,63
