Tarih;Saat;Toplam
1.07.2022;00:00;37789,98
1.07.2022;01:00;36102,71
1.07.2022;02:00;34668,33
1.07.2022;03:00;33561,59
1.07.2022;04:00;33257,62
1.07.2022;05:00;31743,24
1.07.2022;06:00;31443,07
1.07.2022;07:00;33020,31
1.07.2022;08:00;37370,36
1.07.2022;09:00;39003,16
1.07.2022;10:00;39839,51
1.07.2022;11:00;40962,25
1.07.2022;12:00;39335,12
1.07.2022;13:00;38934,99
1.07.2022;14:00;41502,82
1.07.2022;15:00;42127,85
1.07.2022;16:00;42567,94
1.07.2022;17:00;42109,69
1.07.2022;18:00;41429,14
1.07.2022;19:00;41498,78
1.07.2022;20:00;42298,24
1.07.2022;21:00;42631,64
1.07.2022;22:00;41486,2
1.07.2022;23:00;40042,32
2.07.2022;00:00;37507,24
2.07.2022;01:00;36193,79
2.07.2022;02:00;34781,42
2.07.2022;03:00;33502,63
2.07.2022;04:00;33013,28
2.07.2022;05:00;31540,87
2.07.2022;06:00;31188,64
2.07.2022;07:00;31952,48
2.07.2022;08:00;34914,98
2.07.2022;09:00;36863,23
2.07.2022;10:00;37701,15
2.07.2022;11:00;37808,88
2.07.2022;12:00;36815,65
2.07.2022;13:00;37525,47
2.07.2022;14:00;38101,83
2.07.2022;15:00;38337,6
2.07.2022;16:00;38602,65
2.07.2022;17:00;38807,2
2.07.2022;18:00;39495,54
2.07.2022;19:00;40448,58
2.07.2022;20:00;41215,22
2.07.2022;21:00;41516,86
2.07.2022;22:00;40298,38
2.07.2022;23:00;38649,39
3.07.2022;00:00;36374,19
3.07.2022;01:00;34237,5
3.07.2022;02:00;32962,22
3.07.2022;03:00;31800,81
3.07.2022;04:00;30997,33
3.07.2022;05:00;29562,45
3.07.2022;06:00;28502,46
3.07.2022;07:00;28035,99
3.07.2022;08:00;28154,03
3.07.2022;09:00;28825,97
3.07.2022;10:00;29541,66
3.07.2022;11:00;30203,88
3.07.2022;12:00;30213,23
3.07.2022;13:00;30855,85
3.07.2022;14:00;31551,01
3.07.2022;15:00;32137,5
3.07.2022;16:00;32815,42
3.07.2022;17:00;34112,84
3.07.2022;18:00;35594,72
3.07.2022;19:00;36584,95
3.07.2022;20:00;37914,73
3.07.2022;21:00;38461,58
3.07.2022;22:00;37695,87
3.07.2022;23:00;36477,75
4.07.2022;00:00;34944,51
4.07.2022;01:00;33439,32
4.07.2022;02:00;32160,14
4.07.2022;03:00;31392,56
4.07.2022;04:00;30929,93
4.07.2022;05:00;29732,09
4.07.2022;06:00;29704,17
4.07.2022;07:00;31364,54
4.07.2022;08:00;36123,42
4.07.2022;09:00;38025,11
4.07.2022;10:00;38556,6
4.07.2022;11:00;39202,6
4.07.2022;12:00;38016,04
4.07.2022;13:00;39154,37
4.07.2022;14:00;40504,89
4.07.2022;15:00;41102,69
4.07.2022;16:00;41952,15
4.07.2022;17:00;41817,83
4.07.2022;18:00;41942,22
4.07.2022;19:00;42029,3
4.07.2022;20:00;42944,49
4.07.2022;21:00;43154
4.07.2022;22:00;41783,42
4.07.2022;23:00;40343,95
5.07.2022;00:00;37952,74
5.07.2022;01:00;36344,17
5.07.2022;02:00;35114,22
5.07.2022;03:00;34043,56
5.07.2022;04:00;33301,35
5.07.2022;05:00;32097,7
5.07.2022;06:00;31850,25
5.07.2022;07:00;33428,83
5.07.2022;08:00;37701,03
5.07.2022;09:00;39432,12
5.07.2022;10:00;39741,58
5.07.2022;11:00;40176,65
5.07.2022;12:00;38877,6
5.07.2022;13:00;39887,18
5.07.2022;14:00;41502,23
5.07.2022;15:00;41337,43
5.07.2022;16:00;42234,37
5.07.2022;17:00;42400,85
5.07.2022;18:00;42023,73
5.07.2022;19:00;42136,45
5.07.2022;20:00;43328,64
5.07.2022;21:00;43543,92
5.07.2022;22:00;42506,27
5.07.2022;23:00;40710,24
6.07.2022;00:00;38613,09
6.07.2022;01:00;36878,22
6.07.2022;02:00;35365,59
6.07.2022;03:00;34411,48
6.07.2022;04:00;33715,2
6.07.2022;05:00;32415,99
6.07.2022;06:00;32211,31
6.07.2022;07:00;33697,31
6.07.2022;08:00;38020,59
6.07.2022;09:00;39803,35
6.07.2022;10:00;40034,1
6.07.2022;11:00;40586,34
6.07.2022;12:00;39141,06
6.07.2022;13:00;39948,5
