Tarih;Saat;Toplam
1.01.2022;00:00;30983,59
1.01.2022;01:00;29672,68
1.01.2022;02:00;28282,42
1.01.2022;03:00;27135,73
1.01.2022;04:00;26491,49
1.01.2022;05:00;26282,82
1.01.2022;06:00;26769,41
1.01.2022;07:00;26905,62
1.01.2022;08:00;27298,85
1.01.2022;09:00;28302,24
1.01.2022;10:00;29068,38
1.01.2022;11:00;30251,12
1.01.2022;12:00;30838,37
1.01.2022;13:00;31364,83
1.01.2022;14:00;31616,24
1.01.2022;15:00;31926,46
1.01.2022;16:00;33035,1
1.01.2022;17:00;35026,48
1.01.2022;18:00;36649,19
1.01.2022;19:00;36170,95
1.01.2022;20:00;35247,11
1.01.2022;21:00;34318,44
1.01.2022;22:00;33469,09
1.01.2022;23:00;31687,57
2.01.2022;00:00;30578,26
2.01.2022;01:00;29114,41
2.01.2022;02:00;27808,78
2.01.2022;03:00;27205,46
2.01.2022;04:00;26862,67
2.01.2022;05:00;26853,37
2.01.2022;06:00;27121
2.01.2022;07:00;27814,75
2.01.2022;08:00;27968,86
2.01.2022;09:00;29373,64
2.01.2022;10:00;30804,27
2.01.2022;11:00;31527,62
2.01.2022;12:00;31655,67
2.01.2022;13:00;32394,97
2.01.2022;14:00;32637,51
2.01.2022;15:00;32902,45
2.01.2022;16:00;33616,67
2.01.2022;17:00;35767,45
2.01.2022;18:00;37635,04
2.01.2022;19:00;37464,84
2.01.2022;20:00;36911,55
2.01.2022;21:00;35964,27
2.01.2022;22:00;35388,44
2.01.2022;23:00;33947,93
3.01.2022;00:00;32035,61
3.01.2022;01:00;30287,64
3.01.2022;02:00;29065,51
3.01.2022;03:00;28532,27
3.01.2022;04:00;28557,2
3.01.2022;05:00;28878,56
3.01.2022;06:00;30416,76
3.01.2022;07:00;33670,75
3.01.2022;08:00;39036,53
3.01.2022;09:00;41146,62
3.01.2022;10:00;40478,72
3.01.2022;11:00;40116,7
3.01.2022;12:00;38073,17
3.01.2022;13:00;38024,73
3.01.2022;14:00;38999,41
3.01.2022;15:00;39942,47
3.01.2022;16:00;41659,21
3.01.2022;17:00;43646,84
3.01.2022;18:00;43810,33
3.01.2022;19:00;42511,87
3.01.2022;20:00;41349,8
3.01.2022;21:00;40469,35
3.01.2022;22:00;38950,49
3.01.2022;23:00;37426,52
4.01.2022;00:00;35069,5
4.01.2022;01:00;33212,65
4.01.2022;02:00;32278,35
4.01.2022;03:00;31385,7
4.01.2022;04:00;31238,26
4.01.2022;05:00;31734,8
4.01.2022;06:00;33032,78
4.01.2022;07:00;35667,24
4.01.2022;08:00;40297
4.01.2022;09:00;42386,55
4.01.2022;10:00;42407,54
4.01.2022;11:00;42179,11
4.01.2022;12:00;40064,62
4.01.2022;13:00;40122,86
4.01.2022;14:00;40844,04
4.01.2022;15:00;40886,71
4.01.2022;16:00;42099,44
4.01.2022;17:00;43486,64
4.01.2022;18:00;43675,15
4.01.2022;19:00;42678,16
4.01.2022;20:00;41703,45
4.01.2022;21:00;40609,3
4.01.2022;22:00;39436,01
4.01.2022;23:00;37635,86
5.01.2022;00:00;35393,09
5.01.2022;01:00;33751,86
5.01.2022;02:00;32573,98
5.01.2022;03:00;31979,71
