Tarih;Saat;Toplam
1.04.2023;00:00;34462,44
1.04.2023;01:00;32832,65
1.04.2023;02:00;31912,98
1.04.2023;03:00;31932,23
1.04.2023;04:00;32235,36
1.04.2023;05:00;31575,32
1.04.2023;06:00;29708,65
1.04.2023;07:00;28380,41
1.04.2023;08:00;29338,49
1.04.2023;09:00;29825,86
1.04.2023;10:00;29571
1.04.2023;11:00;29773,59
1.04.2023;12:00;28890,61
1.04.2023;13:00;29208,26
1.04.2023;14:00;29838,34
1.04.2023;15:00;30191,5
1.04.2023;16:00;31337,09
1.04.2023;17:00;33532,27
1.04.2023;18:00;36065,06
1.04.2023;19:00;36029,84
1.04.2023;20:00;37034,7
1.04.2023;21:00;36136,58
1.04.2023;22:00;35144,74
1.04.2023;23:00;33701,23
2.04.2023;00:00;32021,02
2.04.2023;01:00;30714,78
2.04.2023;02:00;29567,52
2.04.2023;03:00;29793,27
2.04.2023;04:00;29841,77
2.04.2023;05:00;28983,64
2.04.2023;06:00;26844,76
2.04.2023;07:00;24757,59
2.04.2023;08:00;24232,23
2.04.2023;09:00;24120,48
2.04.2023;10:00;24864,57
2.04.2023;11:00;25703,66
2.04.2023;12:00;26259,48
2.04.2023;13:00;27368,95
2.04.2023;14:00;28211,93
2.04.2023;15:00;29015,15
2.04.2023;16:00;30146,08
2.04.2023;17:00;31966,99
2.04.2023;18:00;34101,04
2.04.2023;19:00;34026,72
2.04.2023;20:00;34728,52
2.04.2023;21:00;33732,3
2.04.2023;22:00;32908,91
2.04.2023;23:00;32181,08
3.04.2023;00:00;30787,89
3.04.2023;01:00;29357,08
3.04.2023;02:00;28602,12
3.04.2023;03:00;28888,57
3.04.2023;04:00;29362,18
3.04.2023;05:00;28767,68
3.04.2023;06:00;27201,7
3.04.2023;07:00;28079,69
3.04.2023;08:00;31480,03
3.04.2023;09:00;32302,57
3.04.2023;10:00;31985,35
3.04.2023;11:00;32126,66
3.04.2023;12:00;30807,08
3.04.2023;13:00;31203,44
3.04.2023;14:00;32232,04
3.04.2023;15:00;32681,7
3.04.2023;16:00;33847,31
3.04.2023;17:00;35231,28
3.04.2023;18:00;36139,36
3.04.2023;19:00;36323,88
3.04.2023;20:00;37478,62
3.04.2023;21:00;36836,93
3.04.2023;22:00;35885,13
3.04.2023;23:00;34658,29
4.04.2023;00:00;33075,33
4.04.2023;01:00;31760,59
4.04.2023;02:00;30820,58
4.04.2023;03:00;30958,47
4.04.2023;04:00;31066,8
4.04.2023;05:00;30704,1
4.04.2023;06:00;29147,87
4.04.2023;07:00;29233,06
4.04.2023;08:00;32453,34
4.04.2023;09:00;33094,44
4.04.2023;10:00;33001,17
4.04.2023;11:00;33127,34
4.04.2023;12:00;31989,07
4.04.2023;13:00;32838,87
4.04.2023;14:00;33895,13
4.04.2023;15:00;34352,6
4.04.2023;16:00;35167,9
4.04.2023;17:00;36067,47
4.04.2023;18:00;37162,8
4.04.2023;19:00;36620,25
4.04.2023;20:00;37566,62
4.04.2023;21:00;36981,09
4.04.2023;22:00;36109,48
4.04.2023;23:00;34703,01
5.04.2023;00:00;33007,86
5.04.2023;01:00;31863,38
5.04.2023;02:00;30824,95
5.04.2023;03:00;30787,57
5.04.2023;04:00;30993,07
5.04.2023;05:00;30566,63
5.04.2023;06:00;29332,63
5.04.2023;07:00;29260,53
5.04.2023;08:00;32537,95
5.04.2023;09:00;33940,42
5.04.2023;10:00;33519,73
5.04.2023;11:00;35087,48
5.04.2023;12:00;34014,3
5.04.2023;13:00;34685,37
5.04.2023;14:00;35545,09
5.04.2023;15:00;35650,3
5.04.2023;16:00;36780,73
5.04.2023;17:00;37317
5.04.2023;18:00;37922,02
5.04.2023;19:00;37451,08
5.04.2023;20:00;38389,16
5.04.2023;21:00;37755,71
5.04.2023;22:00;36747,01
5.04.2023;23:00;35081,21
6.04.2023;00:00;33720,84
6.04.2023;01:00;32450,91
6.04.2023;02:00;31539,95
6.04.2023;03:00;31726,16
6.04.2023;04:00;31624,66
6.04.2023;05:00;31350,87
6.04.2023;06:00;29974,48
6.04.2023;07:00;30048,03
6.04.2023;08:00;33120,83
6.04.2023;09:00;34291,61
6.04.2023;10:00;34603,64
6.04.2023;11:00;35088,94
6.04.2023;12:00;33939,62
6.04.2023;13:00;34831,26
6.04.2023;14:00;35546,79
6.04.2023;15:00;35875,33
6.04.2023;16:00;36974,38
6.04.2023;17:00;37759,16
6.04.2023;18:00;38088,03
6.04.2023;19:00;37607,84
6.04.2023;20:00;37896,97
6.04.2023;21:00;37487,57
6.04.2023;22:00;37016,28
6.04.2023;23:00;35483,17
7.04.2023;00:00;33854,74
7.04.2023;01:00;32480,18
7.04.2023;02:00;31458,07
7.04.2023;03:00;31643,06
7.04.2023;04:00;31759,22
7.04.2023;05:00;31291,07
7.04.2023;06:00;29685,51
7.04.2023;07:00;30346,94
7.04.2023;08:00;34466,32
7.04.2023;09:00;35988,36
7.04.2023;10:00;36678,66
7.04.2023;11:00;37069,48
7.04.2023;12:00;35450,23
7.04.2023;13:00;33567,41
7.04.2023;14:00;36368,06
7.04.2023;15:00;36449,81
7.04.2023;16:00;36651,82
7.04.2023;17:00;37010,35
7.04.2023;18:00;37660,71
7.04.2023;19:00;37593,24
7.04.2023;20:00;38617,24
7.04.2023;21:00;38038,85
7.04.2023;22:00;37156,29
7.04.2023;23:00;35961,26
8.04.2023;00:00;34521,98
8.04.2023;01:00;33183,26
8.04.2023;02:00;32258,28
8.04.2023;03:00;32230,94
8.04.2023;04:00;32131,29
8.04.2023;05:00;31382,18
8.04.2023;06:00;29359,26
8.04.2023;07:00;28228
8.04.2023;08:00;29507,78
8.04.2023;09:00;29930,79
8.04.2023;10:00;30261,81
8.04.2023;11:00;30752,58
8.04.2023;12:00;29935,42
8.04.2023;13:00;30444,59
8.04.2023;14:00;31211,57
8.04.2023;15:00;31585,99
8.04.2023;16:00;32690,33
8.04.2023;17:00;33958,81
8.04.2023;18:00;36214,14
8.04.2023;19:00;36389,7
8.04.2023;20:00;37043,58
8.04.2023;21:00;36523,07
8.04.2023;22:00;35482,8
8.04.2023;23:00;34149,63
9.04.2023;00:00;32385,57
9.04.2023;01:00;30870,57
9.04.2023;02:00;29938,42
9.04.2023;03:00;30030,4
9.04.2023;04:00;29787,04
9.04.2023;05:00;28717,89
9.04.2023;06:00;26494,66
9.04.2023;07:00;24484,24
9.04.2023;08:00;24228,07
9.04.2023;09:00;24112,29
9.04.2023;10:00;24689,45
9.04.2023;11:00;25180,82
9.04.2023;12:00;25718,22
9.04.2023;13:00;26475,79
9.04.2023;14:00;27410,34
9.04.2023;15:00;28649,99
9.04.2023;16:00;30131,05
9.04.2023;17:00;32089,54
9.04.2023;18:00;34063,68
9.04.2023;19:00;34349,89
9.04.2023;20:00;34801,94
9.04.2023;21:00;34347,51
9.04.2023;22:00;33510,51
9.04.2023;23:00;32215,13
10.04.2023;00:00;31328,27
10.04.2023;01:00;29920,25
10.04.2023;02:00;29214,18
10.04.2023;03:00;29355,53
10.04.2023;04:00;29384,89
10.04.2023;05:00;28581,5
10.04.2023;06:00;27676,29
10.04.2023;07:00;28884,13
10.04.2023;08:00;33980,15
10.04.2023;09:00;36558,73
10.04.2023;10:00;36981,48
10.04.2023;11:00;37547,01
10.04.2023;12:00;36319,19
10.04.2023;13:00;36941,8
10.04.2023;14:00;37781,89
10.04.2023;15:00;37919,03
10.04.2023;16:00;38626,92
10.04.2023;17:00;38695,25
10.04.2023;18:00;38703,72
10.04.2023;19:00;38367,29
10.04.2023;20:00;38905,39
10.04.2023;21:00;38188,74
10.04.2023;22:00;37141,61
10.04.2023;23:00;35782,9
11.04.2023;00:00;34279,52
11.04.2023;01:00;32808,02
11.04.2023;02:00;31837,87
11.04.2023;03:00;31953,75
11.04.2023;04:00;31672,11
11.04.2023;05:00;31014,69
11.04.2023;06:00;29714,29
11.04.2023;07:00;30500,81
11.04.2023;08:00;34728,72
11.04.2023;09:00;36563,89
11.04.2023;10:00;36695,98
11.04.2023;11:00;37137
11.04.2023;12:00;35989,7
11.04.2023;13:00;36028
11.04.2023;14:00;36810,39
11.04.2023;15:00;36985,87
11.04.2023;16:00;37535,8
11.04.2023;17:00;37977,72
11.04.2023;18:00;38386,61
11.04.2023;19:00;38206,01
11.04.2023;20:00;38642,91
11.04.2023;21:00;38406,43
11.04.2023;22:00;37368,32
11.04.2023;23:00;35918,3
12.04.2023;00:00;34345,19
12.04.2023;01:00;32916
12.04.2023;02:00;31982,9
12.04.2023;03:00;32051,55
12.04.2023;04:00;31836,8
12.04.2023;05:00;31254,07
12.04.2023;06:00;29714,4
12.04.2023;07:00;30466,42
12.04.2023;08:00;33418,28
12.04.2023;09:00;35004,01
12.04.2023;10:00;35040,59
12.04.2023;11:00;35488,21
12.04.2023;12:00;34731,01
12.04.2023;13:00;35257,56
12.04.2023;14:00;36358,03
12.04.2023;15:00;36535,17
12.04.2023;16:00;37317,01
12.04.2023;17:00;37922,85
12.04.2023;18:00;38582,16
12.04.2023;19:00;38502,93
12.04.2023;20:00;39078,64
12.04.2023;21:00;38896,18
12.04.2023;22:00;37813,27
12.04.2023;23:00;36069,87
13.04.2023;00:00;34497,34
13.04.2023;01:00;32774,29
13.04.2023;02:00;32058,58
13.04.2023;03:00;32127,38
13.04.2023;04:00;32056,15
13.04.2023;05:00;31219,09
13.04.2023;06:00;29941,35
13.04.2023;07:00;30456,33
13.04.2023;08:00;33685,16
13.04.2023;09:00;34629,13
13.04.2023;10:00;34519,34
13.04.2023;11:00;34176,14
13.04.2023;12:00;32995,49
13.04.2023;13:00;33710,54
13.04.2023;14:00;34308,98
13.04.2023;15:00;34459,39
13.04.2023;16:00;35209,04
13.04.2023;17:00;35903,59
13.04.2023;18:00;37103,49
13.04.2023;19:00;37663,9
13.04.2023;20:00;38264,62
13.04.2023;21:00;38209,77
13.04.2023;22:00;37279,74
13.04.2023;23:00;36059,88
14.04.2023;00:00;34476,89
14.04.2023;01:00;33007,44
14.04.2023;02:00;32078,85
14.04.2023;03:00;32019,6
14.04.2023;04:00;31922,71
14.04.2023;05:00;31170,35
14.04.2023;06:00;29593,4
14.04.2023;07:00;29421,79
14.04.2023;08:00;31968,7
14.04.2023;09:00;32277,46
14.04.2023;10:00;31378,91
14.04.2023;11:00;31803,87
14.04.2023;12:00;29900,2
14.04.2023;13:00;28849,63
14.04.2023;14:00;31208,56
14.04.2023;15:00;32003,83
14.04.2023;16:00;33376,4
14.04.2023;17:00;34832,01
14.04.2023;18:00;36341,02
14.04.2023;19:00;37043,87
14.04.2023;20:00;37542,51
14.04.2023;21:00;37277,64
14.04.2023;22:00;36492,21
14.04.2023;23:00;35455,7
15.04.2023;00:00;34220,14
15.04.2023;01:00;32959,78
15.04.2023;02:00;31733,61
15.04.2023;03:00;31690,92
15.04.2023;04:00;31404,15
15.04.2023;05:00;30511,41
15.04.2023;06:00;28478,01
15.04.2023;07:00;27149,79
15.04.2023;08:00;28269,75
15.04.2023;09:00;28991,06
15.04.2023;10:00;28814,24
15.04.2023;11:00;29272,17
15.04.2023;12:00;28550,16
15.04.2023;13:00;29153,29
15.04.2023;14:00;29764,22
15.04.2023;15:00;30651,59
15.04.2023;16:00;31012,46
15.04.2023;17:00;32646,8
15.04.2023;18:00;35149,33
15.04.2023;19:00;35640,97
15.04.2023;20:00;35809,04
15.04.2023;21:00;35841,32
15.04.2023;22:00;34803,27
15.04.2023;23:00;33473,15
16.04.2023;00:00;31592,43
16.04.2023;01:00;30593,39
16.04.2023;02:00;29808,19
16.04.2023;03:00;29850,14
16.04.2023;04:00;29278,97
16.04.2023;05:00;28060,92
16.04.2023;06:00;25865,24
16.04.2023;07:00;23837,73
